N° de certificado;Nombre comercial;Empresa ;Titular o Extensión; 
"X-017";"Topilarsa";"ARSA S R L S. R. L.";"Propio";
"X-031";"CACO DELTA";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"X-054";"Potenpet";"HOLLIDAY SCOTT S A";"Propio";
"X-056";"OXITETRACICLINA POLVO SOLUBLE";"HOLLIDAY SCOTT S A";"Propio";
"00-001";"PODOCUR ANTIPIETIN";"HYPRED ARGENTINA S A";"Propio";
"00-002";"Ioderm PSP";"HYPRED ARGENTINA S A";"Propio";
"00-004";"CEFALEXINA RUMINAL";"RUMINAL  S.A.";"Propio";
"00-005";"LARVICIDA (CIROMAZINA) BROUWER";"BROUWER SA";"Propio";
"00-016";"COLIRIO PARA EL TRATAMIENTO DE LA QUERATOCONJUNTIVITIS PROAGRO";"PROAGRO SA";"Propio";
"00-022";"CDVAC FEEDLOT";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"00-026";"ANTIBACTERIANO SIN ESTEROIDES LOVE";"LABORATORIOS LOVE SUDAMERICANA S. A.";"Propio";
"00-031";"Fen-Oral";"PRO SER SA";"Propio";
"00-032";"ISOXUPRINA WK";"EQUI SYSTEMS SRL";"Propio";
"00-035";"Fenil T 300";"AGREED LABORATORIOS S A";"Propio";
"00-041";"Galgosantel Oral 15";"BIOGENESIS BAGO S.A.";"Propio";
"00-042";"INADRIM GOTAS";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"00-044";"Ceftiofur LPU Over";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"00-044";"CEFTIOGEN 5";"CESINI SILVIO GERMAN";"Extensión";
"00-046";"RUMEX 800 CONCENTRADO";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"00-048";"Dexametasona L.A. Over";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"00-049";"Novantel Secado";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"00-050";"Dominal Spray";"LABORATORIOS KONIG S A";"Propio";
"00-051";"VACUNA ANTI-CLOSTRIDIAL POLIVALENTE";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"00-056";"URFAMYCIN VET";"VON FRANKEN S A I C";"Propio";
"00-059";"REVOLUTION (SELAMECTINA 6%)";"ZOETIS ARGENTINA S R L";"Propio";
"00-060";"REVOLUTION (SELAMECTINA 12%)";"ZOETIS ARGENTINA S R L";"Propio";
"00-062";"CDVAC QUERATO";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"00-063";"CDVAC LEPTOSPIROSIS";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"00-065";"GASTROGARD (OMEPRAZOL)";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"00-072";"EMPLASTO CICATRIZANTE R.J.";"ALLIGNANI HERMANOS S R L";"Propio";
"00-074";"INCURIN";"INTERVET ARGENTINA SA";"Propio";
"00-078";"FLORAVIN";"LABORATORIOS AVIAR S A";"Propio";
"00-080";"Nopican";"KW SRL";"Extensión";
"00-080";"VETUECAN";"LABORATORIO VETUE SRL";"Propio";
"00-081";"VETIL";"VON FRANKEN S A I C";"Propio";
"00-083";"FLUNIXIN PHARMAVET";"PHARMAVET SA";"Propio";
"00-084";"INADRIM INYECTABLE";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"00-086";"AZITROMICINA LABYES";"LABYES S A";"Propio";
"00-090";"TETRA VETUE";"LABORATORIO VETUE SRL";"Propio";
"00-092";"IBR QUERATO VETUE";"LABORATORIO VETUE SRL";"Propio";
"00-093";"TENSOLAC SELLADOR TEAT-DIP-TA-2500";"TENSOLAC SA";"Propio";
"00-094";"Tensolac Sellador de barrera";"TENSOLAC SA";"Propio";
"00-095";"TENSOLAC SELLADOR TEAT-DIP-5000";"TENSOLAC SA";"Propio";
"00-096";"TENSOLAC SELLADOR SPRAY TA-10000";"TENSOLAC SA";"Propio";
"00-097";"DERMISAN";"HYPRED ARGENTINA S A";"Propio";
"00-098";"Furosemide 5% Alfasan";"ALLIGNANI HERMANOS S R L";"Propio";
"00-099";"Fenibutazona 20% Alfasan";"ALLIGNANI HERMANOS S R L";"Propio";
"00-101";"RANITIDINA 33 SPORT HORSE ";"SPORT.HORSE S.A";"Propio";
"00-102";"VACUNA CDVAC CARBUNCLO";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"00-106";"Gonadiol";"ZOETIS ARGENTINA S R L";"Propio";
"00-107";"Gestar";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"00-107";"Medigest";"MEDIVET S.A.";"Extensión";
"00-108";"KETOCREM";"CASTELLANO GUSTAVO HECTOR";"Propio";
"00-109";"Dermosedan Soft";"CASTELLANO GUSTAVO HECTOR";"Propio";
"00-110";"DERMOSEDAN CLASSIC";"CASTELLANO GUSTAVO HECTOR";"Propio";
"00-111";"VITAL B1";"CHINFIELD SA";"Propio";
"00-112";"UNIMAG";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"00-113";"PROSEL";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"00-114";"Vitonal-B";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"00-117";"ENROXINA 150";"BROUWER SA";"Propio";
"00-118";"ENDOFER 20";"VON FRANKEN S A I C";"Propio";
"00-119";"POUR METRIN PLUS";"VON FRANKEN S A I C";"Propio";
"00-122";"MG TS-11";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"00-123";"Ceftiofur Pharmavet";"PHARMAVET SA";"Propio";
"00-124";"Cefalexina Mastitis Pharmavet";"PHARMAVET SA";"Propio";
"00-125";"Cefalexina Secado Pharmavet";"PHARMAVET SA";"Propio";
"00-126";"Pharmaflor";"PHARMAVET SA";"Propio";
"00-131";"Clormadinona KW (Inyectable)";"KW SRL";"Propio";
"00-132";"Paraqueños Shampoo Medicado";"PROAGRO SA";"Propio";
"00-137";"Fit P";"AFFORD SA";"Propio";
"00-138";"Fit G";"AFFORD SA";"Propio";
"00-139";"PREVENREC";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"00-143";"ADVOCIN 180";"ZOETIS ARGENTINA S R L";"Propio";
"00-144";"Ioduro de Sodio al 60% Over";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"00-145";"Caravana Over - Diazinon 40%";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"00-148";"A VOLAR";"TROCKI JORGE MARCELO";"Propio";
"00-149";"REPRO CULTIVAC";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"00-157";"Paraqueños Pulgar";"PROAGRO SA";"Propio";
"00-158";"PARAQUEÑOS POTENCIADO ANTISEBORREICO";"PROAGRO SA";"Propio";
"00-160";"PARVO LEPTO 7";"ZOETIS ARGENTINA S R L";"Propio";
"00-161";"Cypertec Forte";"TECNOFARM S. R. L.";"Extensión";
"00-161";"Mos-K-Tion PF";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"00-161";"ETHIOGEN ULTRA";"CESINI SILVIO GERMAN";"Extensión";
"00-162";"Mos-K-Tion F";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"00-163";"Reuflogin";"VON FRANKEN S A I C";"Propio";
"00-164";"TRIPLEX RUMINAL";"RUMINAL  S.A.";"Propio";
"00-167";"Polivitaminol Forte";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"00-177";"POMADA REEM";"FERMIN OSCAR DEL PAPA S.A.";"Propio";
"00-178";"Cefureg";"EL GIGANTE S R L";"Propio";
"00-181";"NOBILIS MG-6/85";"INTERVET ARGENTINA SA";"Propio";
"00-182";"LIVACOX Q";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"00-184";"GALLIMUNE 302 ND+IB+EDS";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"00-197";"Repro GnRh";"LABCECIL S.R.L.";"Propio";
"00-202";"Total Full Perros Grandes";"HOLLIDAY SCOTT S A";"Propio";
"00-203";"A OTRA PARTE APLICACION DIRECTA";"TROCKI JORGE MARCELO";"Propio";
"00-204";"A OTRA PARTE GRANULADO";"TROCKI JORGE MARCELO";"Propio";
"00-209";"Vetec";"TECNOFARM S. R. L.";"Propio";
"00-213";"Exterminator";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"00-214";"Florfenicol 30% Rosenbusch";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"00-218";"ESPES";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"00-220";"Dexavet Duo";"PHARMAVET SA";"Propio";
"00-221";"Parasedar";"KW SRL";"Propio";
"00-222";"Cefalexina 1000 Paul";"PROMOPET SRL";"Propio";
"00-224";"GEL OTICO PLUS";"VETANCO S. A.";"Propio";
"00-225";"Equi-Gel Race";"EQUI SYSTEMS SRL";"Propio";
"00-226";"AVIAN LEUKOSIS VIRUS ANTIGEN TEST KIT-IDEXX  ALV-AG";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"00-228";"COCCIVAC-D2";"INTERVET ARGENTINA SA";"Propio";
"00-232";"TOTAL FULL SUSPENSION";"HOLLIDAY SCOTT S A";"Propio";
"00-233";"Total Full Perros Chicos";"HOLLIDAY SCOTT S A";"Propio";
"00-234";"Total Full Gatos";"HOLLIDAY SCOTT S A";"Propio";
"00-235";"Total Full Perros Medianos";"HOLLIDAY SCOTT S A";"Propio";
"00-236";"PARAQUEÑOS-PULGUICIDA-GARRAPATICIDA ";"PROAGRO SA";"Propio";
"00-237";"Tensolac Sellador Blue-Dip";"TENSOLAC SA";"Propio";
"00-238";"POULVAC MIX 6";"ZOETIS ARGENTINA S R L";"Propio";
"00-240";"OFLOXACINA LOVE";"LABORATORIOS LOVE SUDAMERICANA S. A.";"Propio";
"00-241";"Privaprol";"VON FRANKEN S A I C";"Propio";
"00-243";"CARMINATIVO NF BROUWER SOLUCION";"BROUWER SA";"Propio";
"00-245";"SHAMPOO B ZOOVET";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"00-246";"CULTIVAC EQUINOS";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"00-255";"Mineracua Magnesio";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"00-256";"Biomacrotil 200";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"00-260";"Magyca 2 (FM2)";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"00-261";"PREVENCOC E4";"LABORATORIOS INMUNER S A I Y C";"Propio";
"00-261";"PRIMUN COX 4";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Extensión";
"00-263";"BOVILIS BVD";"INTERVET ARGENTINA SA";"Propio";
"00-264";"Novantel Lactancia";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"00-265";"HERMES";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"00-266";"ARVAK";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"00-267";"CEFTIOMAX *";"BIOGENESIS BAGO S.A.";"Propio";
"00-272";"LOPERAMIDA PARAQUEÑOS ANTIDIARREICO";"PROAGRO SA";"Propio";
"00-275";"IVERVET PREMIX";"VETANCO S. A.";"Propio";
"00-276";"Microflud F 500 Premix";"VETANCO S. A.";"Propio";
"00-279";"ZINCRON";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"0028/E";"Sinparin";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"00-280";"CALCISHOCK";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"00-282";"PREVENFOS";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"00-283";"Viazepam";"BIOAMERVETLAB";"Propio";
"00-289";"ACA - NO EXTRA FUERTE";"BINKA SA";"Propio";
"00-292";"Antiempaste Weizur";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"00-294";"NOBIVAC RABIES";"INTERVET ARGENTINA SA";"Propio";
"00-295";"NOBIVAC KC";"INTERVET ARGENTINA SA";"Propio";
"00-300";"Nafpenzal DC";"INTERVET ARGENTINA SA";"Propio";
"00-302";"CANINSULIN";"INTERVET ARGENTINA SA";"Propio";
"00-304";"Insaprom Bacitracina Zinc  15";"INMOBAL NUTRER S. A.";"Propio";
"00-307";"Vetribac-D";"VETANCO S. A.";"Propio";
"00-308";"Allivion";"NIESER ARGENTINA S A";"Propio";
"00-309";"Shotapen L.A.";"CENTROVET ARGENTINA S.A.";"Propio";
"00-315";"Magnecal Plus AS";"AGROINSUMOS S. A.";"Propio";
"00-316";"GASTROTERAP NF";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"00-318";"Creapaz";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"00-319";"GALISAN CB POUR ON";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"00-320";"Facyt ADE";"FACYT S R L";"Propio";
"00-321";"Ketoconazol J'Anvier 200";"LABORATORIOS J' ANVIER SRL";"Propio";
"00-322";"PREVENMAG";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"00-324";"CEFALEXINA PYO 500";"CASTELLANO GUSTAVO HECTOR";"Propio";
"00-324";"SEPSIS 500";"LABORATORIO BRUBER SRL";"Extensión";
"00-325";"PREDNISOLONA PYO ";"CASTELLANO GUSTAVO HECTOR";"Propio";
"00-326";"Ciper + Ethion Mivet";"MIVET SA";"Propio";
"00-326";"Garratox Mezcla";"INTERVET ARGENTINA SA";"Extensión";
"00-328";"DERMOSEDAN CHAMPU ANTISEBORREICO";"CASTELLANO GUSTAVO HECTOR";"Propio";
"00-332";"Cefalexina Burnet (FM11)";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"00-333";"DAP 300";"VETANCO S. A.";"Propio";
"0070/E";"IVERMECTINA KÖNIG";"LABORATORIOS KONIG S A";"Propio";
"0078/E";"Bagomectina LA AD3E";"BIOGENESIS BAGO S.A.";"Propio";
"0082/E";"Cipersin 15%";"BIOGENESIS BAGO S.A.";"Propio";
"0087/E";"IVER 1";"PHARMAVET SA";"Propio";
"0093/E";"Doxicilina 100 DG";"DELTA VET GROUP SRL";"Propio";
"0094/E";"VACUNA ANTILEPTOSPIROSIS";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"0095/E";"BIOAFTOGEN TRIVALENTE";"BIOGENESIS BAGO S.A.";"Propio";
"01-005";"COLIRIO RIO DE JANEIRO";"ALLIGNANI HERMANOS S R L";"Propio";
"01-006";"PHARMAPRIM L.A.";"PHARMAVET SA";"Propio";
"01-009";"Cobre EG";"EL GIGANTE S R L";"Propio";
"01-011";"ACS 16%";"LABORATORIO TECNOLOGICO FRANCES DE ARGENTINA S R L";"Propio";
"01-012";"DSC 1000";"HYPRED ARGENTINA S A";"Propio";
"01-013";"FOSBAC PLUS T PREMIX";"BEDSON S. A.";"Propio";
"01-014";"Albon Inyectable";"LABORATORIOS KONIG S A";"Propio";
"01-018";"Ambiflud Benzuron";"VETANCO S. A.";"Propio";
"0102/E";"Enrovet L.A.";"PHARMAVET SA";"Propio";
"01-027";"POULVAC SE";"ZOETIS ARGENTINA S R L";"Propio";
"01-033";"Cefalexina EG 18%";"EL GIGANTE S R L";"Propio";
"01-036";"Clindex Inyectable";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"01-037";"BIOLEX";"LABORATORIO VETUE SRL";"Propio";
"01-038";"CALCINORAL";"LABORATORIO VETUE SRL";"Propio";
"0104/E";"Apetican Plus";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"01-040";"Dermosedan Champu Peroxido de Benzoilo";"CASTELLANO GUSTAVO HECTOR";"Propio";
"01-041";"Dermosedan Champu Digluconato de Clorhexidina";"CASTELLANO GUSTAVO HECTOR";"Propio";
"01-044";"CICATRINE AM";"LABORATORIO VETUE SRL";"Propio";
"01-045";"Niglumine";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"01-046";"Fosbac Plus T";"BEDSON S. A.";"Propio";
"01-048";"CE-LAMARK ROJO AL AGUA";"DICK ALBERTO RAUL";"Propio";
"01-049";"CE-LAMARK AZUL AL AGUA";"DICK ALBERTO RAUL";"Propio";
"01-050";"Ce-Lamark amarillo al agua";"DICK ALBERTO RAUL";"Propio";
"01-051";"CE-LAMARK VERDE AL AGUA";"DICK ALBERTO RAUL";"Propio";
"01-053";"OXITETRAZUR L.A. ";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"01-054";"BMD 11% GRANULADO";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"01-057";"OTOVIER NF";"LABORATORIOS J' ANVIER SRL";"Propio";
"01-058";"SALMO PLAT-LIO";"PLATALAB S.A.";"Propio";
"01-059";"CALIERMUTIN PREMIX";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"0106/E";"VETANARCOL 100";"LABORATORIOS KONIG S A";"Propio";
"01-065";"CONTAL 60";"LABORATORIOS J' ANVIER SRL";"Propio";
"01-067";"Shampoo de Belleza e higiene Glacoxan Pets";"PUNCH QUIMICA S A";"Propio";
"01-074";"Life chip";"DIGITAL ANGEL  SOCIEDAD ANONIMA";"Propio";
"01-077";"NALBUFINE 10 RICHMOND";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"01-079";"M+PAC";"INTERVET ARGENTINA SA";"Propio";
"01-080";"Cefalexin Plus 205";"PROAGRO SA";"Propio";
"01-083";"NOBILIS DILUENT FD";"INTERVET ARGENTINA SA";"Propio";
"01-084";"NOBILIS DILUENT CA";"INTERVET ARGENTINA SA";"Propio";
"01-085";"Vitapel P-G Comprimidos Palatables";"BROUWER SA";"Propio";
"01-087";"Repro PFG2 Alfa";"LABCECIL S.R.L.";"Propio";
"01-088";"Furodex";"PHARMAVET SA";"Propio";
"0109/E";"Ivermectina 3.15 % EG - Bovinos";"EL GIGANTE S R L";"Propio";
"01-091";"YOHIMBINE VET UP";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"01-093";"BACTROFLAY";"LABORATORIOS KONIG S A";"Propio";
"01-094";"LIMPIAOREJAS RUMINAL";"RUMINAL  S.A.";"Propio";
"01-095";"HEXIDERM";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"01-097";"Clavamox";"ZOETIS ARGENTINA S R L";"Propio";
"01-098";"EQUINIL";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"0110/E";"Super Enrovet L.A.";"PHARMAVET SA";"Propio";
"01-100";"CEFALEXINA VE TEC";"VE TEC S A";"Propio";
"01-105";"Florfenicol EG";"EL GIGANTE S R L";"Propio";
"01-108";"TOTAL FULL GATOS SUSPENSION";"HOLLIDAY SCOTT S A";"Propio";
"01-111";"Lactamox";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"01-112";"Synect Plata";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"01-113";"Amoxicilina 200 over";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"01-114";"Revimag Plus";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"01-115";"BUTAFENIL";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"01-116";"SULFAMETOXIN";"PROAGRO SA";"Propio";
"01-118";"Iver 100 D";"PHARMAVET SA";"Propio";
"01-121";"ACECOR PLUS";"TECNOFARM S. R. L.";"Propio";
"01-121";"CALIERCORTIN PLUS";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Extensión";
"01-122";"RANIVET COMPRIMIDOS";"VETANCO S. A.";"Propio";
"01-123";"RANIVET";"VETANCO S. A.";"Propio";
"01-126";"NOBILIS RT IB MULTI+G+ND";"INTERVET ARGENTINA SA";"Propio";
"0113/E";"Nabolic Strong";"CHINFIELD SA";"Propio";
"01-134";"YODIMASPEN";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"01-135";"Cypertec F Pour On";"TECNOFARM S. R. L.";"Extensión";
"01-135";"ISEXAN POUR ON";"AGRO 2000 SOCIEDAD ANONIMA";"Propio";
"01-136";"HEPATONE";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"01-137";"Animmo";"NIESER ARGENTINA S A";"Propio";
"01-138";"SUCRAVET";"VETANCO S. A.";"Propio";
"01-139";"Shield";"TECNOFARM S. R. L.";"Propio";
"01-140";"Tobramax";"LABYES S A";"Propio";
"01-141";"Tears Lagrimas";"LABYES S A";"Propio";
"01-143";"PORCILIS APP";"INTERVET ARGENTINA SA";"Propio";
"01-145";"Cefaplus AV";"LABORATORIOS AVIAR S A";"Propio";
"0115/E";"Ganekyl";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"01-150";"ERITROMICINA 20% BURNET";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"01-156";"Micospectone (Polvo Soluble)";"VON FRANKEN S A I C";"Propio";
"01-157";"PAUL-4";"PROMOPET SRL";"Propio";
"01-158";"PAUL PARVO-CORONA";"PROMOPET SRL";"Propio";
"01-159";"PAUL-6";"PROMOPET SRL";"Propio";
"0116/E";"Revimed Plus";"MEDIVET S.A.";"Extensión";
"0116/E";"REVIMIN PLUS";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"01-160";"PARVO AT";"PROMOPET SRL";"Propio";
"01-165";"FEQUANTEL";"PROAGRO SA";"Propio";
"01-172";"REPRONET";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"01-175";"BRUCELNET";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"01-178";"Intrasec Plus";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"01-179";"UDDER BALM";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"01-180";"Pharmapietin";"PHARMAVET SA";"Propio";
"01-181";"Oxavar";"INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA";"Propio";
"01-184";"CDVAC REPRODUCTIVA PLUS";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"01-192";"SELFOS PLUS";"AGROINSUMOS S. A.";"Propio";
"01-193";"DI-HEPTARINE S SOLUCION";"VETANCO S. A.";"Propio";
"01-194";"QUANTUM PV";"INTERVET ARGENTINA SA";"Propio";
"01-196";"Agita 10  WG";"INNOSUR";"Propio";
"01-197";"DOMINAL MAX GATOS";"LABORATORIOS KONIG S A";"Propio";
"01-201";"METACAM 20 MG/ML";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"01-203";"Articular";"KW SRL";"Propio";
"01-208";"Formula Mac Donald Gel - Champu";"CASTELLANO GUSTAVO HECTOR";"Propio";
"01-210";"FLUNIXIN TECNOFARM";"TECNOFARM S. R. L.";"Propio";
"01-211";"ANFOMICINA DEXA";"TECNOFARM S. R. L.";"Propio";
"01-218";"RAPIDVET-D";"MEDICA TEC S R L";"Propio";
"01-225";"ARTRIN";"BROUWER SA";"Propio";
"01-226";"Septon";"NIESER ARGENTINA S A";"Propio";
"01-227";"VACUNA CONTRA  BOTULISMO C Y D";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"01-229";"ZOLETIL 50";"CENTROVET ARGENTINA S.A.";"Propio";
"01-231";"PROGESTERONA RIO DE JANEIRO";"ALLIGNANI HERMANOS S R L";"Propio";
"01-232";"OXITOCINA ALFASAN";"ALLIGNANI HERMANOS S R L";"Propio";
"01-233";"BIOPROST-D";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"01-236";"A Z Mag";"VON FRANKEN S A I C";"Propio";
"01-239";"SPEED F-CORONA";"MEDICA TEC S R L";"Propio";
"01-240";"SPEED PARVO";"MEDICA TEC S R L";"Propio";
"01-241";"DUO SPEED";"MEDICA TEC S R L";"Propio";
"01-242";"SPEED-LEISH K";"MEDICA TEC S R L";"Propio";
"01-243";"TARGET PRUEBA DE OVULACION CANINA";"MEDICA TEC S R L";"Propio";
"01-244";"SPEED-DIRO";"MEDICA TEC S R L";"Propio";
"01-246";"REVISEL PLUS ADE";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"01-246";"Selmed ADE";"MEDIVET S.A.";"Extensión";
"01-252";"EQUIVERM";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"01-253";"Oxi-Premix";"EZEGAB S R L";"Propio";
"01-255";"GANAMAG";"LABORATORIO GANAFORT ARGENTINA S.A.";"Propio";
"01-258";"Arterol";"LADAGA GUILLERMO JUAN BAUTI";"Propio";
"01-259";"Glacoxan Pets Spot-On Perros";"PUNCH QUIMICA S A";"Propio";
"01-260";"BAGOGARD FEL";"BIOGENESIS BAGO S.A.";"Propio";
"01-261";"CICLOPROST";"PHARMAVET SA";"Propio";
"01-261";"GANAPROST";"LABORATORIO GANAFORT ARGENTINA S.A.";"Extensión";
"01-262";"UROFLOGIN";"LABORATORIO TRITON VET SRL";"Propio";
"01-263";"RESPISURE - ONE";"ZOETIS ARGENTINA S R L";"Propio";
"01-264";"WRIGHT";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"01-265";"Eutanásico equino";"EQUI SYSTEMS SRL";"Propio";
"01-270";"Dominal Perros";"LABORATORIOS KONIG S A";"Propio";
"01-272";"BUTAFLEX INYECTABLE";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"01-281";"Osteocart plus";"LABYES S A";"Propio";
"01-282";"Promectina";"PROAGRO SA";"Propio";
"01-285";"ULTRACHOICE 8";"ZOETIS ARGENTINA S R L";"Propio";
"01-287";"ESTRADIOL MULTIDOSIS OVER";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"01-287";"MULTIMED ESTRADIOL";"MEDIVET S.A.";"Extensión";
"01-288";"CEFALEXINA ARGOS 20";"LABORATORIOS ARGOS S R L";"Propio";
"01-289";"PROPARTEN";"LABORATORIOS ARGOS S R L";"Propio";
"01-292";"CULTIVAC 6 M";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"01-295";"Visagen 40";"VETIFARMA S A";"Propio";
"01-296";"INDIGEST INYECTABLE";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"01-297";"XILACINA 20 RICHMOND";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"01-300";"CIPROFLOXACINA TRITON";"LABORATORIO TRITON VET SRL";"Propio";
"01-301";"CDVAC RESPIRATORIA";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"01-302";"ANTIGENO BUFFERADO PARA PLACA BPA";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"01-305";"EQUIVISC";"DELTA VET  SRL";"Propio";
"01-307";"Oxicomplex";"RUMINAL  S.A.";"Propio";
"01-308";"Cronyxim";"RUMINAL  S.A.";"Propio";
"01-312";"Otoruminal";"RUMINAL  S.A.";"Propio";
"01-313";"ALBON COMPRIMIDOS";"LABORATORIOS KONIG S A";"Propio";
"01-314";"Dominal Jabon";"LABORATORIOS KONIG S A";"Propio";
"01-317";"Civet Florfenicol 20 Premix";"FACYT S R L";"Propio";
"01-318";"Civet Florfenicol Aves 25 Oral";"FACYT S R L";"Propio";
"01-320";"REVIVON";"LABORATORIOS KONIG S A";"Propio";
