N° de certificado;Nombre comercial;Empresa ;Titular o Extensión; 
"19-055";"PORCILIS ERY+PARVO+LEPTO";"INTERVET ARGENTINA SA";"Propio";
"19-056";"KIT BRUCELLA FPA S ANTICUERPO";"IMMUNOLOGY SRL";"Propio";
"19-057";"RELACAT";"TROCKI JORGE MARCELO";"Propio";
"19-058";"SHAMPOO BELLEZA OSSPRET";"LABORATORIOS OSSPRET S.A.";"Propio";
"19-059";"TONICO TOTAL CATS JM";"JOHN MARTIN SRL";"Propio";
"19-060";"POTENPET GATOS";"HOLLIDAY SCOTT S A";"Propio";
"19-061";"OHM GATOS";"HOLLIDAY SCOTT S A";"Propio";
"19-062";"MARBOMAX 160";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"19-063";"OCUFLOX SH";"BROUWER SA";"Propio";
"19-064";"ESTROL 1 CIP";"PHARMAVET SA";"Propio";
"19-065";"CONARFLEX";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"19-066";"TIGUVON SPOT ON";"INNOSUR";"Propio";
"19-067";"EVANT";"HIPRA ARGENTINA S.A.";"Propio";
"19-070";"ENJUAGUE EXTRA BRILLO OSSPRET";"LABORATORIOS OSSPRET S.A.";"Propio";
"19-071";"PUPPYLINE ";"JOHN MARTIN SRL";"Propio";
"19-073";"BURSA GUARD REO";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"19-074";"KIT DE ELISA V2 PARA DETECCIÓN DE ANTICUERPOS DEL VIRUS DE LA ANEMIA INFECCIOSA EQUINA";"IMMUNOLOGY SRL";"Propio";
"19-075";"BIORAL H 120 NEO";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"19-076";"CEVAC MEGAMUNE ND-IB-EDS-SHS K";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"19-077";"FASTEST FELV-FIV";"IMMUNOLOGY SRL";"Propio";
"19-078";"UBAC";"HIPRA ARGENTINA S.A.";"Propio";
"19-079";"POWER FPP";"BROUWER SA";"Propio";
"19-080";"TRI-HEPATIUM";"PROAGRO SA";"Propio";
"20-001";"BIOTECH VAC COX";"VETANCO S. A.";"Propio";
"20-002";"FARMADOX 50";"CEVASA S. A.";"Propio";
"20-003";"ZAZEN";"LABORATORIOS J' ANVIER SRL";"Propio";
"20-005";"HEPATICO RENAL ORAL";"HEANUT S.A.";"Propio";
"20-006";"HYDRALURON L 0,4%";"BIOGENESIS BAGO S.A.";"Propio";
"20-007";"HYDRALURON C 0,8%";"BIOGENESIS BAGO S.A.";"Propio";
"20-008";"TRICOVAC-DOBLE VENÉREA";"LABORATORIO BIOLOGICO DE TANDIL S.R.L.";"Propio";
"20-009";"VETLIS BRUCELLA GLYCO-IELISA";"CHEMTEST ARGENTINA S.A.";"Propio";
"20-010";"VETSTRIP BRUCELLA BOVINOS (SUERO)";"CHEMTEST ARGENTINA S.A.";"Propio";
"20-011";"ARGOSMECTINA 3.5%";"LABORATORIOS ARGOS S R L";"Propio";
"20-012";"SERENEX SPRAY";"LABORATORIOS KONIG S A";"Propio";
"20-013";"SERENEX DIFUSOR";"LABORATORIOS KONIG S A";"Propio";
"20-014";"URSOMARINA";"LABORATORIOS RODENTHIA S.A";"Propio";
"20-014";"D-HEPATIL";"DERMOVET S.R.L.";"Extensión";
"20-015";"PRODUCTOS DE BANCO DE ANTÍGENOS Y VACUNAS CONTRA FIEBRE AFTOSA";"BIOGENESIS BAGO S.A.";"Propio";
"20-016";"FOLI-REC LIQUIDO";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"20-017";"CORRELINK ABS747";"INNOSUR";"Propio";
"20-018";"CORRELINK ABS1541";"INNOSUR";"Propio";
"20-019";"CORRELINK ABS1781";"INNOSUR";"Propio";
"20-020";"CORRELINK ABS1999";"INNOSUR";"Propio";
"20-021";"CORRELINK ABS2018";"INNOSUR";"Propio";
"20-024";"VETLIS BRUCELLA IELISA OVINOS (SUERO)";"CHEMTEST ARGENTINA S.A.";"Propio";
"20-025";"SOLIDRAN LQS";"TECNOFARM S. R. L.";"Propio";
"20-026";"PORCILIS ILEITIS";"INTERVET ARGENTINA SA";"Propio";
"20-027";"INTRA HYDROCARE";"ALFARO EDGARDO LUIS";"Propio";
